ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0035136	forelimb morphogenesis	13/1696	34/15233	0.38235294117647056	3.434187708102108	5.029400157848591	3.749844866316646e-5	0.0011510696013282695	9.101279039139427e-4	ENSG00000143867/ENSG00000052850/ENSG00000128918/ENSG00000109906/ENSG00000122707/ENSG00000122691/ENSG00000089225/ENSG00000078399/ENSG00000073282/ENSG00000128709/ENSG00000163132/ENSG00000106031/ENSG00000008196	13
GO:0043269	regulation of monoatomic ion transport	69/1696	384/15233	0.1796875	1.613903117629717	4.31267789181558	3.7599293998844764e-5	0.0011510696013282695	9.101279039139427e-4	ENSG00000174697/ENSG00000078549/ENSG00000022267/ENSG00000018625/ENSG00000143867/ENSG00000120049/ENSG00000145362/ENSG00000105974/ENSG00000198947/ENSG00000177098/ENSG00000141750/ENSG00000149596/ENSG00000179094/ENSG00000106537/ENSG00000124205/ENSG00000006210/ENSG00000107562/ENSG00000137731/ENSG00000136717/ENSG00000092051/ENSG00000150594/ENSG00000169252/ENSG00000170615/ENSG00000203805/ENSG00000069431/ENSG00000129244/ENSG00000065534/ENSG00000166257/ENSG00000213366/ENSG00000153822/ENSG00000121361/ENSG00000137726/ENSG00000085563/ENSG00000169245/ENSG00000118729/ENSG00000180509/ENSG00000149575/ENSG00000084628/ENSG00000266964/ENSG00000183873/ENSG00000109062/ENSG00000102287/ENSG00000151320/ENSG00000155511/ENSG00000018236/ENSG00000138798/ENSG00000088992/ENSG00000144681/ENSG00000168539/ENSG00000116329/ENSG00000001626/ENSG00000186439/ENSG00000108405/ENSG00000138755/ENSG00000173805/ENSG00000145335/ENSG00000188580/ENSG00000157542/ENSG00000221946/ENSG00000101188/ENSG00000187486/ENSG00000102468/ENSG00000273079/ENSG00000149295/ENSG00000169248/ENSG00000130226/ENSG00000109047/ENSG00000182132/ENSG00000171126	69
GO:0070371	ERK1 and ERK2 cascade	55/1696	287/15233	0.1916376306620209	1.721235865492078	4.366022299470358	3.776371282253804e-5	0.0011510696013282695	9.101279039139427e-4	ENSG00000135218/ENSG00000181092/ENSG00000164619/ENSG00000137077/ENSG00000120907/ENSG00000165795/ENSG00000136826/ENSG00000070193/ENSG00000131016/ENSG00000136158/ENSG00000180354/ENSG00000006210/ENSG00000138685/ENSG00000134853/ENSG00000170312/ENSG00000017427/ENSG00000122641/ENSG00000092820/ENSG00000125845/ENSG00000037280/ENSG00000162733/ENSG00000183856/ENSG00000154928/ENSG00000077942/ENSG00000073712/ENSG00000157168/ENSG00000179921/ENSG00000276365/ENSG00000146648/ENSG00000120129/ENSG00000101447/ENSG00000170962/ENSG00000115414/ENSG00000107796/ENSG00000164056/ENSG00000079385/ENSG00000142627/ENSG00000141736/ENSG00000143507/ENSG00000164107/ENSG00000115008/ENSG00000188257/ENSG00000109062/ENSG00000138798/ENSG00000019169/ENSG00000143556/ENSG00000086991/ENSG00000120156/ENSG00000068078/ENSG00000168743/ENSG00000154188/ENSG00000198400/ENSG00000179915/ENSG00000102468/ENSG00000149295	55
GO:0050878	regulation of body fluid levels	64/1696	349/15233	0.1833810888252149	1.647077904525058	4.328521990617867	3.7784973159317856e-5	0.0011510696013282695	9.101279039139427e-4	ENSG00000135222/ENSG00000135218/ENSG00000138722/ENSG00000130032/ENSG00000103647/ENSG00000129596/ENSG00000169418/ENSG00000173432/ENSG00000149131/ENSG00000105974/ENSG00000180914/ENSG00000070193/ENSG00000165124/ENSG00000136859/ENSG00000167772/ENSG00000136160/ENSG00000126561/ENSG00000132205/ENSG00000003436/ENSG00000240583/ENSG00000187800/ENSG00000136854/ENSG00000010278/ENSG00000134853/ENSG00000101335/ENSG00000148926/ENSG00000150594/ENSG00000185010/ENSG00000184500/ENSG00000110799/ENSG00000123843/ENSG00000077942/ENSG00000186204/ENSG00000140873/ENSG00000135378/ENSG00000120833/ENSG00000085563/ENSG00000115414/ENSG00000161798/ENSG00000174175/ENSG00000124491/ENSG00000173918/ENSG00000079385/ENSG00000092445/ENSG00000136244/ENSG00000100448/ENSG00000105664/ENSG00000168539/ENSG00000173083/ENSG00000001626/ENSG00000154188/ENSG00000151012/ENSG00000108405/ENSG00000101280/ENSG00000187048/ENSG00000198788/ENSG00000171209/ENSG00000126218/ENSG00000102468/ENSG00000131187/ENSG00000058866/ENSG00000149295/ENSG00000057593/ENSG00000109758	64
GO:0050000	chromosome localization	29/1696	120/15233	0.24166666666666667	2.1705827437106917	4.556669967962022	4.0002576486998743e-5	0.001211855831020023	9.581903701213267e-4	ENSG00000076382/ENSG00000089685/ENSG00000155816/ENSG00000170312/ENSG00000154839/ENSG00000114346/ENSG00000134690/ENSG00000122952/ENSG00000117650/ENSG00000118193/ENSG00000080986/ENSG00000126787/ENSG00000121621/ENSG00000142945/ENSG00000112742/ENSG00000161800/ENSG00000117724/ENSG00000134057/ENSG00000129810/ENSG00000137812/ENSG00000161888/ENSG00000101447/ENSG00000237649/ENSG00000138778/ENSG00000040275/ENSG00000152253/ENSG00000178999/ENSG00000165480/ENSG00000143228	29
GO:1901990	regulation of mitotic cell cycle phase transition	60/1696	322/15233	0.18633540372670807	1.6736127387788584	4.324292050895424	4.051082326542577e-5	0.0012204724821346228	9.650033852584121e-4	ENSG00000022267/ENSG00000154734/ENSG00000136826/ENSG00000070193/ENSG00000129757/ENSG00000089685/ENSG00000165891/ENSG00000170312/ENSG00000154839/ENSG00000011426/ENSG00000122641/ENSG00000134690/ENSG00000122952/ENSG00000118193/ENSG00000127564/ENSG00000158402/ENSG00000118971/ENSG00000080986/ENSG00000126787/ENSG00000162733/ENSG00000106462/ENSG00000168309/ENSG00000092853/ENSG00000112742/ENSG00000117724/ENSG00000134057/ENSG00000156970/ENSG00000137812/ENSG00000171848/ENSG00000146648/ENSG00000120129/ENSG00000161888/ENSG00000102760/ENSG00000166851/ENSG00000169679/ENSG00000138778/ENSG00000101412/ENSG00000149554/ENSG00000143476/ENSG00000164109/ENSG00000175063/ENSG00000135046/ENSG00000135476/ENSG00000040275/ENSG00000087586/ENSG00000117399/ENSG00000136014/ENSG00000152253/ENSG00000094804/ENSG00000178999/ENSG00000071539/ENSG00000177602/ENSG00000164045/ENSG00000123473/ENSG00000165480/ENSG00000123080/ENSG00000171033/ENSG00000197299/ENSG00000085840/ENSG00000143228	60
GO:0034329	cell junction assembly	85/1696	500/15233	0.17	1.5268926886792453	4.240252852485341	4.176375854351751e-5	0.0012471116498388943	9.860664468115303e-4	ENSG00000189056/ENSG00000103647/ENSG00000148053/ENSG00000095637/ENSG00000145362/ENSG00000221866/ENSG00000105974/ENSG00000013297/ENSG00000083307/ENSG00000189058/ENSG00000079308/ENSG00000156284/ENSG00000010278/ENSG00000104332/ENSG00000047648/ENSG00000114346/ENSG00000184113/ENSG00000140557/ENSG00000126778/ENSG00000151914/ENSG00000185070/ENSG00000152939/ENSG00000165379/ENSG00000139567/ENSG00000124171/ENSG00000165474/ENSG00000179776/ENSG00000184363/ENSG00000169760/ENSG00000150471/ENSG00000085741/ENSG00000089225/ENSG00000168309/ENSG00000065618/ENSG00000198844/ENSG00000177707/ENSG00000131477/ENSG00000251322/ENSG00000077782/ENSG00000034971/ENSG00000154928/ENSG00000131409/ENSG00000159261/ENSG00000073712/ENSG00000179921/ENSG00000110076/ENSG00000105426/ENSG00000172061/ENSG00000121361/ENSG00000101542/ENSG00000115414/ENSG00000164741/ENSG00000100625/ENSG00000142627/ENSG00000140538/ENSG00000130545/ENSG00000146555/ENSG00000164007/ENSG00000102287/ENSG00000158856/ENSG00000150625/ENSG00000135298/ENSG00000064042/ENSG00000155511/ENSG00000134569/ENSG00000145103/ENSG00000134760/ENSG00000071991/ENSG00000185737/ENSG00000101463/ENSG00000120156/ENSG00000095713/ENSG00000174607/ENSG00000213937/ENSG00000198400/ENSG00000107984/ENSG00000145335/ENSG00000166206/ENSG00000164885/ENSG00000185985/ENSG00000179915/ENSG00000121904/ENSG00000174469/ENSG00000149295/ENSG00000151834	85
GO:0001656	metanephros development	22/1696	80/15233	0.275	2.4699734669811324	4.665899204865504	4.185245404740833e-5	0.0012471116498388943	9.860664468115303e-4	ENSG00000181092/ENSG00000143867/ENSG00000170549/ENSG00000147257/ENSG00000070193/ENSG00000174059/ENSG00000164736/ENSG00000240583/ENSG00000134853/ENSG00000126778/ENSG00000005513/ENSG00000120738/ENSG00000162849/ENSG00000138759/ENSG00000164056/ENSG00000100625/ENSG00000123388/ENSG00000165731/ENSG00000077943/ENSG00000167034/ENSG00000188064/ENSG00000008196	22
GO:0010001	glial cell differentiation	48/1696	241/15233	0.1991701244813278	1.7888906286698503	4.3694392603702985	4.238685318025905e-5	0.0012561712521301771	9.932296946587016e-4	ENSG00000189056/ENSG00000148053/ENSG00000135144/ENSG00000160307/ENSG00000070193/ENSG00000163884/ENSG00000146122/ENSG00000162407/ENSG00000198121/ENSG00000100146/ENSG00000010278/ENSG00000138685/ENSG00000170312/ENSG00000172201/ENSG00000017427/ENSG00000136717/ENSG00000144230/ENSG00000131095/ENSG00000125845/ENSG00000050555/ENSG00000196569/ENSG00000153902/ENSG00000152784/ENSG00000185483/ENSG00000132970/ENSG00000034971/ENSG00000170525/ENSG00000005513/ENSG00000123384/ENSG00000106278/ENSG00000105894/ENSG00000128482/ENSG00000123560/ENSG00000162367/ENSG00000140538/ENSG00000141736/ENSG00000143507/ENSG00000018236/ENSG00000176887/ENSG00000007372/ENSG00000136244/ENSG00000184454/ENSG00000123080/ENSG00000147862/ENSG00000164885/ENSG00000181449/ENSG00000146216/ENSG00000149948	48
GO:0090287	regulation of cellular response to growth factor stimulus	57/1696	302/15233	0.18874172185430463	1.6952256185180556	4.319315879053642	4.3095716636261536e-5	0.0012702753665812657	0.0010043815382197853	ENSG00000138722/ENSG00000101938/ENSG00000164619/ENSG00000168477/ENSG00000176194/ENSG00000132170/ENSG00000147257/ENSG00000105974/ENSG00000198947/ENSG00000070193/ENSG00000064300/ENSG00000069702/ENSG00000129757/ENSG00000117707/ENSG00000180875/ENSG00000136158/ENSG00000150938/ENSG00000138685/ENSG00000104332/ENSG00000174804/ENSG00000166831/ENSG00000020181/ENSG00000141052/ENSG00000183287/ENSG00000011465/ENSG00000163430/ENSG00000139567/ENSG00000179776/ENSG00000125845/ENSG00000090006/ENSG00000145147/ENSG00000142611/ENSG00000102935/ENSG00000173269/ENSG00000144730/ENSG00000276365/ENSG00000137573/ENSG00000164056/ENSG00000197859/ENSG00000105971/ENSG00000156140/ENSG00000182175/ENSG00000176887/ENSG00000188779/ENSG00000168743/ENSG00000154188/ENSG00000077943/ENSG00000174453/ENSG00000107984/ENSG00000106483/ENSG00000171243/ENSG00000107485/ENSG00000207611/ENSG00000163132/ENSG00000106031/ENSG00000179915/ENSG00000008196	57
