ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0048608	reproductive structure development	51/1612	318/18860	0.16037735849056603	1.8763752984690294	4.8183448229459245	8.821997489877837e-6	3.7747099571728524e-4	3.0683082250363325e-4	FZD4/SLIT3/CDKN1C/RBP4/STAT5A/LEP/ADAMTS1/TYRO3/IGF1/NOTCH4/BOK/ANTXR2/SERPINF1/MMP19/NKX3-1/KIT/OSR1/BMP6/KIF18A/CSMD1/ZP3/BMPR1B/ASPM/ESR1/GATA3/DHCR24/SRD5A1/HMGA2/SIX4/BRIP1/CCND1/SLIT2/TESC/ABCB1/FANCA/C3/ID4/FOXA1/INHBB/SYCP2/INHBA/AKR1C3/VGF/MYOCD/CYP19A1/AMH/SFRP1/GATA4/ROBO2/GFRA1/SCX	51
GO:0015711	organic anion transport	68/1612	466/18860	0.1459227467811159	1.707259928220748	4.726137984125544	8.892469085435763e-6	3.7747099571728524e-4	3.0683082250363325e-4	SLC7A10/CD36/SLC2A4/FABP4/ACACB/SLC2A1/LYPLA1/PPARG/LEP/SLC39A6/SLC16A7/SLC13A2/SLC4A4/SLC38A1/ABCD2/AVPR1A/ATP1A2/RBP7/CES1/ACSL1/KCNJ8/CR1/SLC16A6/SLC17A7/GFAP/PLA2G4F/SPX/LLGL2/CA4/FOLR2/NHERF1/SLC5A8/NTRK2/SLC2A14/PTGS2/NTSR1/PLA2G2A/ABCB1/SLC1A2/SLC26A5/ADCY10/SLC39A4/SLC7A5/SLC1A4/SLC25A10/APBA1/SLC22A3/NMB/ABCC4/SLC52A3/AKR1C1/SLC52A2/KCNK1/GRM7/SLC44A4/CFTR/SLC25A18/SLC17A9/SLC1A7/SLC22A11/SLC22A12/SLC26A9/SLCO1C1/ABCB11/SLC7A2/SLC7A3/SLC22A13/TNF	68
GO:0045471	response to ethanol	27/1612	128/18860	0.2109375	2.467916408188586	5.09432575697416	8.949523080757554e-6	3.7747099571728524e-4	3.0683082250363325e-4	SLC2A4/ADCYAP1R1/CAT/ADIPOQ/RBP4/CDO1/LEP/CDK1/CLDN5/FGF2/S100B/GATA3/FOSB/CA3/CCND1/PENK/CRHBP/FOS/GLRA2/SOX2/CLDN3/OPRD1/ACTC1/NTRK3/CLDN1/TNF/GLRA1	27
GO:0051899	membrane depolarization	23/1612	100/18860	0.23	2.690942928039702	5.183045363723496	9.137604267488046e-6	3.825699904343892e-4	3.109755879577782e-4	CAV1/FHL1/ANK2/MYOC/SCN4B/ATP1A2/CACNA1G/BOK/ALB/SCN11A/CACNA1D/DCN/CHRNA5/NTSR1/CNGB1/ADCY10/CHRNE/PPIF/SLC6A4/SCN3B/HCN2/SCN5A/CHRNA2	23
GO:0051896	regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	50/1612	311/18860	0.1607717041800643	1.8809890451836309	4.789199508641246	1.0047561196917832e-5	4.1759717850547545e-4	3.394477647548806e-4	CAT/TWIST1/ADRA2A/LEP/DDR2/PDE3B/MYOC/FGFR3/C1QTNF1/KLF4/TYRO3/UNC5B/RAPGEF3/IGF1/FERMT2/NKX3-1/KIT/TPBG/FAM110C/CCL21/IL33/FGF2/PPP1R16B/CX3CL1/RELN/NHERF1/GATA3/DCN/NTRK2/SELP/MST1R/XBP1/CEP55/SPRY2/VAV3/ANGPT1/IGF2/GDF15/PROS1/TMEM100/AKR1C3/RET/EGF/PDGFD/LIME1/FN1/MIR126/NGF/NTRK3/TNF	50
GO:0050678	regulation of epithelial cell proliferation	62/1612	416/18860	0.14903846153846154	1.7437130177514795	4.689180703028401	1.1271203231650685e-5	4.6250639347727914e-4	0.00037595263936546257	CAV1/TIE1/CDKN1C/PPARG/STAT5A/LEP/FGF7/RGCC/MMRN2/ATOH8/ACVRL1/GPBAR1/ERBB2/ALDH1A2/CXCL12/IGF1/EGFL7/CAV2/SERPINF1/LIMS2/NKX3-1/ZFP36/EDNRB/GPC3/TGFBR3/OSR1/BMP6/JUN/FGF2/PPP1R16B/FLT4/FOXP2/OVOL1/GATA3/IRF6/NGFR/HMGA2/SIX4/CCND1/IQGAP3/FUT2/DUSP10/HAS2/XBP1/NME1/PROX1/NR4A3/IGF2/MIR27B/UHRF1/EPGN/EPPK1/EGF/PAX6/MIR149/MIR126/SCN5A/SFRP1/PTN/CLDN1/HOXA5/TNF	62
GO:0061028	establishment of endothelial barrier	15/1612	50/18860	0.3	3.509925558312655	5.432802566158234	1.1290549471960274e-5	4.6250639347727914e-4	0.00037595263936546257	ROBO4/CDH5/PDE2A/PTPRS/RAPGEF3/MARVELD2/EZR/CLDN5/EDNRB/PPP1R16B/SOX18/TJP3/CLDN3/CLDN1/TNF	15
GO:0051225	spindle assembly	28/1612	137/18860	0.20437956204379562	2.391190161380884	4.996104801091069	1.1550235049388115e-5	4.697645597943995e-4	3.818525076102222e-4	CCDC69/STARD9/CDCA8/RACGAP1/MAPK15/KIF15/KIF23/SPAG5/MZT1/AURKA/AURKB/NDC80/BIRC5/ASPM/KIFC1/KIF11/MYBL2/INCENP/CDC20/STIL/TPX2/KIF4A/NEK2/PLK1/SKA3/SKA1/UHRF1/MISP	28
GO:0035633	maintenance of blood-brain barrier	13/1612	39/18860	0.3333333333333333	3.899917287014061	5.54203219401625	1.2097881000655147e-5	4.885484710477334e-4	3.9712118521747434e-4	CDH5/ESAM/DMD/CLDN5/JAM2/IL6/OCLN/ABCB1/ANGPT1/LAMA2/TJP3/CLDN3/CLDN1	13
GO:0001890	placenta development	31/1612	160/18860	0.19375	2.266826923076923	4.9195904511869974	1.2554591640506417e-5	5.011595592034305e-4	4.073722259474394e-4	GRHL2/CDKN1C/PPARG/EPAS1/LEP/MME/CEBPA/SOCS3/SPINT2/E2F7/KRT8/ADM/PTGIS/CCNF/KRT19/SPINT1/PHLDA2/LLGL2/TPPP3/PLK4/STC1/PTGS2/ABCB1/JUNB/RSPO3/IGF2/E2F8/FOSL1/SPP1/TTPA/PTN	31
