patient_id	sample_id	condition_main	library_size_qc
196	GSM9193520	Normal	5643576
196	GSM9193521	Tumor	5485694
85	GSM9193548	Tumor	5310257
75	GSM9193545	Normal	4756476
106	GSM9193485	Tumor	4553028
75	GSM9193544	Tumor	4241379
85	GSM9193549	Normal	4158482
197	GSM9193522	Tumor	4084652
197	GSM9193523	Normal	3873500
106	GSM9193486	Normal	1581646
